Source;raw_genre;canonical_genre
Spotify;Classical;Classical
Spotify;EDM;EDM
Spotify;Reggaeton;Reggaeton
Spotify;Rock;Rock
Spotify;Indie;Indie
Spotify;Hip-Hop;Hip-Hop
Spotify;R&B;R&B
Spotify;Folk;Folk
Spotify;Pop;Pop
Spotify;Country;Country
Spotify;Metal;Metal
Spotify;Jazz;Jazz
Ticketmaster;Alternative;Rock
Ticketmaster;Fairs & Festivals;Other
Ticketmaster;Classical;Classical
Ticketmaster;Folk;Folk
Ticketmaster;R&B;R&B
Ticketmaster;Rock;Rock
Ticketmaster;Blues;Jazz
Ticketmaster;Undefined;Other
Ticketmaster;Religious;Other
Ticketmaster;Comedy;Other
Ticketmaster;Other;Other
Ticketmaster;Jazz;Jazz
Ticketmaster;Metal;Metal
Ticketmaster;Reggae;Reggaeton
Ticketmaster;World;Other
Ticketmaster;Pop;Pop
Ticketmaster;Hip-Hop/Rap;Hip-Hop
Ticketmaster;Dance/Electronic;EDM
Ticketmaster;Country;Country
Ticketmaster;New Age;Classical
Ticketmaster;Latin;Reggaeton
